Datetime,Open,High,Low,Close,Volume,OI,Date,Time
2025-02-28 10:12:00+05:30,1298.95,1300.6,1298.2,1299.25,3851,0,2025-02-28,10:12:00
2025-02-28 10:13:00+05:30,1299.3,1302.1,1299.3,1302.1,3740,0,2025-02-28,10:13:00
2025-02-28 10:14:00+05:30,1303.0,1303.5,1300.0,1301.75,3809,0,2025-02-28,10:14:00
2025-02-28 10:15:00+05:30,1301.75,1304.45,1301.75,1304.45,4172,0,2025-02-28,10:15:00
2025-02-28 10:16:00+05:30,1305.5,1307.65,1304.45,1305.95,12134,0,2025-02-28,10:16:00
2025-02-28 10:17:00+05:30,1305.95,1306.95,1304.05,1306.2,3203,0,2025-02-28,10:17:00
2025-02-28 10:18:00+05:30,1306.45,1307.15,1306.3,1306.7,3465,0,2025-02-28,10:18:00
2025-02-28 10:19:00+05:30,1307.3,1309.75,1306.45,1309.1,11115,0,2025-02-28,10:19:00
2025-02-28 10:20:00+05:30,1309.25,1310.0,1307.3,1307.95,10049,0,2025-02-28,10:20:00
2025-02-28 10:21:00+05:30,1307.75,1307.95,1303.1,1306.2,8069,0,2025-02-28,10:21:00
2025-02-28 10:22:00+05:30,1306.2,1308.95,1306.2,1308.25,5005,0,2025-02-28,10:22:00
2025-02-28 10:23:00+05:30,1308.25,1310.0,1307.5,1308.65,3570,0,2025-02-28,10:23:00
2025-02-28 10:24:00+05:30,1308.7,1312.0,1308.5,1311.7,11931,0,2025-02-28,10:24:00
2025-02-28 10:25:00+05:30,1311.7,1311.85,1309.05,1309.05,6600,0,2025-02-28,10:25:00
2025-02-28 10:26:00+05:30,1309.05,1310.15,1309.05,1309.95,3344,0,2025-02-28,10:26:00
2025-02-28 10:27:00+05:30,1309.95,1309.95,1308.25,1308.35,2827,0,2025-02-28,10:27:00
2025-02-28 10:28:00+05:30,1308.1,1308.1,1304.45,1305.0,9336,0,2025-02-28,10:28:00
2025-02-28 10:29:00+05:30,1305.0,1306.5,1305.0,1305.45,3819,0,2025-02-28,10:29:00
2025-02-28 10:30:00+05:30,1305.45,1305.5,1302.5,1302.7,3356,0,2025-02-28,10:30:00
2025-02-28 10:31:00+05:30,1302.7,1302.85,1299.0,1302.45,6889,0,2025-02-28,10:31:00
2025-02-28 10:32:00+05:30,1301.85,1303.3,1299.8,1303.25,3024,0,2025-02-28,10:32:00
2025-02-28 10:33:00+05:30,1303.3,1303.3,1300.0,1301.2,3258,0,2025-02-28,10:33:00
2025-02-28 10:34:00+05:30,1301.2,1302.05,1300.45,1301.7,1026,0,2025-02-28,10:34:00
2025-02-28 10:35:00+05:30,1301.8,1303.5,1301.8,1303.5,2233,0,2025-02-28,10:35:00
2025-02-28 10:36:00+05:30,1303.5,1303.5,1301.7,1302.3,2608,0,2025-02-28,10:36:00
2025-02-28 10:37:00+05:30,1302.4,1302.4,1301.1,1301.2,394,0,2025-02-28,10:37:00
2025-02-28 10:38:00+05:30,1301.2,1304.7,1301.05,1304.7,1111,0,2025-02-28,10:38:00
2025-02-28 10:39:00+05:30,1304.7,1304.7,1302.2,1303.35,1804,0,2025-02-28,10:39:00
2025-02-28 10:40:00+05:30,1303.35,1303.5,1302.0,1302.5,1723,0,2025-02-28,10:40:00
2025-02-28 10:41:00+05:30,1302.5,1305.5,1302.5,1305.5,6288,0,2025-02-28,10:41:00
2025-02-28 10:42:00+05:30,1306.2,1307.65,1305.5,1305.5,5031,0,2025-02-28,10:42:00
2025-02-28 10:43:00+05:30,1305.5,1305.8,1303.0,1303.45,5424,0,2025-02-28,10:43:00
2025-02-28 10:44:00+05:30,1303.45,1305.0,1303.25,1303.6,1851,0,2025-02-28,10:44:00
2025-02-28 10:45:00+05:30,1303.6,1305.2,1303.6,1305.2,3732,0,2025-02-28,10:45:00
2025-02-28 10:46:00+05:30,1305.2,1305.2,1303.45,1303.45,1619,0,2025-02-28,10:46:00
2025-02-28 10:47:00+05:30,1303.45,1303.95,1300.1,1301.7,15720,0,2025-02-28,10:47:00
2025-02-28 10:48:00+05:30,1301.0,1301.05,1298.1,1298.1,3290,0,2025-02-28,10:48:00
2025-02-28 10:49:00+05:30,1298.1,1299.8,1298.05,1299.45,2051,0,2025-02-28,10:49:00
2025-02-28 10:50:00+05:30,1299.75,1300.0,1298.65,1300.0,1113,0,2025-02-28,10:50:00
2025-02-28 10:51:00+05:30,1300.1,1301.7,1300.1,1300.55,2775,0,2025-02-28,10:51:00
2025-02-28 10:52:00+05:30,1300.55,1301.15,1300.0,1300.6,1747,0,2025-02-28,10:52:00
2025-02-28 10:53:00+05:30,1300.6,1301.1,1299.8,1299.8,1529,0,2025-02-28,10:53:00
2025-02-28 10:54:00+05:30,1299.8,1300.65,1299.8,1300.0,990,0,2025-02-28,10:54:00
2025-02-28 10:55:00+05:30,1300.0,1301.5,1299.75,1299.8,3363,0,2025-02-28,10:55:00
2025-02-28 10:56:00+05:30,1299.8,1301.95,1299.8,1301.95,894,0,2025-02-28,10:56:00
2025-02-28 10:57:00+05:30,1301.95,1301.95,1298.75,1298.75,3478,0,2025-02-28,10:57:00
2025-02-28 10:58:00+05:30,1298.75,1299.1,1297.35,1297.85,3037,0,2025-02-28,10:58:00
2025-02-28 10:59:00+05:30,1297.85,1299.5,1297.85,1299.35,980,0,2025-02-28,10:59:00
2025-02-28 11:00:00+05:30,1299.35,1299.55,1297.05,1298.55,1317,0,2025-02-28,11:00:00
2025-02-28 11:01:00+05:30,1298.55,1299.45,1298.05,1299.45,1579,0,2025-02-28,11:01:00
2025-02-28 11:02:00+05:30,1299.45,1299.8,1298.95,1298.95,1103,0,2025-02-28,11:02:00
2025-02-28 11:03:00+05:30,1298.95,1299.2,1297.5,1298.25,1196,0,2025-02-28,11:03:00
2025-02-28 11:04:00+05:30,1298.25,1298.85,1297.5,1298.55,1742,0,2025-02-28,11:04:00
2025-02-28 11:05:00+05:30,1298.5,1299.6,1298.5,1299.35,1351,0,2025-02-28,11:05:00
2025-02-28 11:06:00+05:30,1299.4,1299.6,1298.95,1299.45,4815,0,2025-02-28,11:06:00
